Team,Season,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptions,interceptionTDs,interceptionYards,kickReturns,kickReturnTDs,kickReturnYards,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturns,puntReturnTDs,puntReturnYards,rushingAttempts,rushingTDs,rushingYards,sacks,tacklesForLoss,thirdDownConversions,thirdDowns,totalYards,turnovers
Penn State,2020,223,11,22,8,5,9,9,0,18,18,0,290,2298,306,184,4,17,39,335,18169,8,1,197,402,15,1569,21,59,56,133,3867,17
Purdue,2020,136,6,11,3,4,6,4,0,21,20,0,401,1854,261,176,3,15,42,360,9961,3,0,16,150,4,488,5,33,30,80,2342,7
Rutgers,2020,171,11,22,5,12,9,8,0,54,33,2,851,1787,309,195,8,14,66,537,15093,10,1,99,343,13,1261,20,71,49,144,3048,13
Wisconsin,2020,137,5,12,5,4,7,7,0,217,11,0,251,1267,202,124,8,10,36,296,15263,11,0,30,293,13,1152,11,36,38,100,2419,12
Illinois,2019,223,5,14,9,29,13,9,4,249,35,0,710,2397,364,197,12,19,87,797,19974,22,0,119,484,19,1845,36,125,62,177,4242,18
Indiana,2019,304,8,18,6,13,13,9,2,159,37,0,688,3931,473,321,7,24,88,830,26311,17,0,68,467,24,1695,38,94,83,178,5626,15
Iowa,2019,248,15,21,5,11,13,7,1,73,23,2,531,2976,411,243,12,16,56,421,24981,15,0,121,453,17,1789,41,75,78,190,4765,12
Maryland,2019,201,8,26,9,9,12,12,0,94,45,2,1023,2088,342,172,10,16,70,585,18541,9,1,123,425,23,2034,34,108,54,169,4122,21
Michigan,2019,286,12,22,11,18,13,9,0,31,27,1,665,3261,410,228,9,25,80,649,23032,37,0,271,495,26,1959,49,102,68,175,5220,20
Michigan State,2019,274,13,21,9,14,13,15,1,124,28,0,446,3182,464,270,12,17,75,700,24483,27,0,167,468,12,1653,49,127,70,192,4835,24
Minnesota,2019,295,13,20,7,8,13,8,3,240,19,0,344,3293,323,212,14,31,55,502,26620,11,0,37,560,25,2323,38,72,78,161,5616,15
Nebraska,2019,250,10,23,11,13,12,9,2,177,25,0,420,2551,323,194,11,12,61,518,20813,17,1,128,544,27,2439,35,127,77,187,4990,20
Northwestern,2019,211,11,28,8,15,12,15,0,47,23,0,374,1414,311,155,7,6,65,582,21573,21,0,174,530,17,2160,30,78,69,193,3574,23
Ohio State,2019,393,8,13,13,16,14,3,1,280,17,0,283,3684,406,271,16,48,81,770,26854,29,0,212,663,39,3735,66,135,101,183,7419,16
Penn State,2019,275,11,18,5,17,13,9,2,147,31,0,549,2877,369,217,10,25,57,589,21761,33,0,178,516,34,2479,63,119,73,172,5356,14
Purdue,2019,247,8,16,8,7,12,15,1,135,36,0,521,3719,520,320,9,29,55,452,19870,12,0,67,342,9,999,34,102,73,181,4718,23
Rutgers,2019,160,6,14,8,4,12,15,0,8,39,0,727,1672,278,154,6,7,76,709,21627,13,0,35,457,11,1605,23,69,61,178,3277,23
Wisconsin,2019,320,18,23,17,17,14,5,2,200,28,2,766,2802,351,246,12,18,69,636,29957,32,0,259,612,38,3262,78,120,91,189,6064,22
Illinois,2023,244,13,24,10,8,12,13,2,103,25,0,454,3191,414,261,7,23,79,749,20449,12,0,133,396,12,1501,23,57,59,161,4692,23
Indiana,2023,236,9,26,8,2,12,10,1,98,31,1,657,2548,366,215,10,18,66,612,21187,13,0,31,434,13,1456,21,73,62,169,4004,18
Iowa,2023,169,5,10,10,5,14,9,1,126,18,0,421,1601,323,161,10,9,46,392,22251,30,1,320,450,11,1522,26,69,58,189,3123,19
Maryland,2023,256,12,18,8,5,13,12,0,122,22,1,426,3418,451,297,15,25,64,655,20303,12,0,101,350,19,1307,31,61,70,164,4725,20
Michigan,2023,266,15,19,2,8,14,5,4,338,16,0,224,2844,315,233,16,21,38,342,25585,28,0,307,493,35,2103,32,74,71,152,4947,7
Michigan State,2023,198,10,20,9,7,12,13,0,22,17,0,320,2366,381,222,9,14,81,708,20224,13,0,89,371,7,1064,30,67,49,161,3430,22
Minnesota,2023,218,13,16,6,7,13,10,0,114,22,0,277,1838,296,156,12,14,36,344,22861,7,0,76,461,11,1793,21,42,57,164,3631,16
Nebraska,2023,197,8,16,15,5,12,16,0,71,15,0,335,1631,261,136,9,10,60,508,22246,16,0,48,478,16,2122,32,76,59,154,3753,31
Northwestern,2023,200,3,12,1,10,13,8,0,56,27,0,562,2401,350,217,11,18,65,524,20783,9,0,46,427,13,1260,25,54,71,175,3661,9
Ohio State,2023,260,9,17,5,4,13,7,3,230,13,0,259,3392,376,245,7,26,66,522,21388,16,0,73,398,20,1708,22,62,70,153,5100,12
Penn State,2023,271,19,24,5,12,13,1,1,177,15,0,361,2452,372,226,12,27,59,513,23788,29,2,336,487,26,2240,49,102,69,170,4692,6
Purdue,2023,245,11,28,8,8,12,10,0,79,22,1,509,2534,392,234,10,15,72,691,21909,20,0,159,462,20,2025,33,70,63,176,4559,18
Rutgers,2023,210,15,24,5,9,13,8,0,49,4,0,165,1704,279,135,8,10,60,529,22753,8,1,35,472,21,1986,20,49,57,157,3690,13
Wisconsin,2023,238,5,18,11,4,13,5,1,161,21,0,431,2484,429,254,12,11,66,575,20977,22,0,194,420,21,1967,29,75,82,184,4451,16
